label,split,note
"Housing / Rent","test","transferred this month's apartment rent"
"Housing / Rent","test","paid for my rented room"
"Housing / Rent","test","rent payment for the flat"
"Housing / Rent","test","monthly payment to the landlord"
"Housing / Rent","test","cleared the house rent"
"Education","train","college semester fee"
"Education","train","paid tuition fees"
"Education","train","bought notebooks and pens"
"Education","train","stationery for college"
"Education","train","semester payment"
"Education","train","college fee payment"
"Education","train","tuition for this term"
"Education","train","bought study notebooks"
"Education","train","education expenses"
"Education","train","paid my university fees"
"Education","train","exam fee"
"Education","train","college supplies"
"Education","train","new notebooks for class"
"Education","train","course tuition"
"Education","train","school stationery"
"Education","test","paid my semester dues"
"Education","test","bought pens for class"
"Education","test","university tuition payment"
"Education","test","study materials for college"
"Education","test","education fee this month"
"Shopping","train","bought new clothes"
"Shopping","train","went shopping"
"Shopping","train","bought a kurti"
"Shopping","train","household purchase"
"Shopping","train","extension board for home"
"Shopping","train","bought a plumbing item"
"Shopping","train","clothing purchase"
"Shopping","train","shopping for a shirt"
"Shopping","train","new shoes"
"Shopping","train","hardware for the house"
"Shopping","train","bought a backpack"
"Shopping","train","purchased a household item"
"Shopping","train","bought a gift item"
"Shopping","train","new clothes for college"
"Shopping","train","shopping at the mall"
"Shopping","test","purchased a jacket"
"Shopping","test","bought something for the kitchen"
"Shopping","test","picked up a pair of shoes"
"Shopping","test","shopping for clothes"
"Shopping","test","bought an electrical item"
"Bills & Utilities","train","mobile recharge"
"Bills & Utilities","train","paid electricity bill"
"Bills & Utilities","train","water bill payment"
"Bills & Utilities","train","internet bill"
"Bills & Utilities","train","recharged my phone"
"Bills & Utilities","train","monthly mobile bill"
"Bills & Utilities","train","paid the broadband bill"
"Bills & Utilities","train","electricity payment"
"Bills & Utilities","train","phone recharge for mom"
"Bills & Utilities","train","utility bill"
"Bills & Utilities","train","wifi bill"
"Bills & Utilities","train","paid the water charges"
"Bills & Utilities","train","mobile plan recharge"
"Bills & Utilities","train","internet subscription bill"
"Bills & Utilities","train","monthly electricity payment"
"Bills & Utilities","test","renewed my phone plan"
"Bills & Utilities","test","cleared the broadband payment"
"Bills & Utilities","test","paid this month's power bill"
"Bills & Utilities","test","recharged the mobile number"
"Bills & Utilities","test","water charges for the house"
"Entertainment","train","watched a movie"
"Entertainment","train","Netflix subscription"
"Entertainment","train","Spotify payment"
"Entertainment","train","concert ticket"
"Entertainment","train","movie night"
"Entertainment","train","paid for streaming"
"Entertainment","train","monthly Netflix bill"
"Entertainment","train","music subscription"
"Entertainment","train","booked movie tickets"
"Entertainment","train","concert entry"
"Entertainment","train","streaming service payment"
"Entertainment","train","went to the cinema"
"Entertainment","train","Spotify renewal"
"Entertainment","train","movie show"
"Entertainment","train","entertainment subscription"
"Entertainment","test","paid for a cinema ticket"
"Entertainment","test","renewed my music subscription"
"Entertainment","test","streaming payment this month"
"Entertainment","test","ticket for the concert"
"Entertainment","test","movie outing"
"Transfer / Personal","train","lent money to Rahul"
"Transfer / Personal","train","sent money to my brother"
"Transfer / Personal","train","monthly allowance for home"
"Transfer / Personal","train","paid back what I owed"
"Transfer / Personal","train","returned borrowed money"
"Transfer / Personal","train","reimbursement for the shared purchase"
"Transfer / Personal","train","sent money to mom"
"Transfer / Personal","train","gave my friend some cash"
"Transfer / Personal","train","loaned money to a friend"
"Transfer / Personal","train","paid back the loan"
"Transfer / Personal","train","money I owed Rahul"
"Transfer / Personal","train","refund for a shared purchase"
"Transfer / Personal","train","sent money for my sister's travel"
"Transfer / Personal","train","monthly pocket money"
"Transfer / Personal","train","transferred money to dad"
"Transfer / Personal","test","loaned some cash to my cousin"
"Transfer / Personal","test","returned the money I borrowed"
"Transfer / Personal","test","sent allowance to my parents"
"Transfer / Personal","test","reimbursed my friend"
"Transfer / Personal","test","paid back what I owed my brother"
"Unknown","train","personal"
"Unknown","train","home"
"Unknown","train","payment"
"Unknown","train","something"
"Unknown","train","urgent"
"Unknown","train","gift"
"Unknown","train","misc"
"Unknown","train","stuff"
"Unknown","train","done"
"Unknown","train","ok"
"Unknown","train","for later"
"Unknown","train","important"
"Unknown","train","cash"
"Unknown","train","needed"
"Unknown","train","transfer"
"Unknown","train","paid"
"Unknown","test","just a payment"
"Unknown","test","something for now"
"Unknown","test","personal expense"
"Unknown","test","not sure"
"Unknown","test","miscellaneous"
"Unknown","test","for home"
"Unknown","test","an urgent payment"
"Unknown","test","some stuff"
Health & Fitness,train,"prescription refill from the chemist"
Health & Fitness,train,"scheduled a dental checkup"
Health & Fitness,train,"paid for a lab test"
Health & Fitness,train,"bought an inhaler at the pharmacy"
Health & Fitness,train,"consultation with my doctor"
Groceries,train,"weekly vegetables and milk"
Groceries,train,"bought flour and cooking oil"
Groceries,train,"restocked pantry items"
Groceries,train,"market run for household food"
Groceries,train,"picked up pulses and spices"
Food & Dining,train,"grabbed snacks after class"
Food & Dining,train,"ordered a meal for lunch"
Food & Dining,train,"paid the cafe bill"
Food & Dining,train,"dinner with classmates"
Food & Dining,train,"bought pastries from the bakery"
Travel & Transport,train,"booked a cab for the airport"
Travel & Transport,train,"paid the bus fare"
Travel & Transport,train,"refilled fuel before the trip"
Travel & Transport,train,"metro trip to the office"
Travel & Transport,train,"rickshaw back home"
Housing / Rent,train,"rent for my shared flat"
Housing / Rent,train,"paid this month's room rent"
Housing / Rent,train,"sent rent to the landlord"
Housing / Rent,train,"apartment lease payment"
Housing / Rent,train,"hostel accommodation fee"
Education,train,"paid the college registration fee"
Education,train,"bought textbooks for class"
Education,train,"course enrollment payment"
Education,train,"lab fee for the semester"
Education,train,"study supplies for university"
Shopping,train,"bought a new backpack"
Shopping,train,"purchased a household appliance"
Shopping,train,"ordered a pair of sneakers"
Shopping,train,"bought a phone accessory"
Shopping,train,"picked up a shirt from the store"
Bills & Utilities,train,"paid my broadband charge"
Bills & Utilities,train,"recharged the family phone"
Bills & Utilities,train,"settled the electricity charges"
Bills & Utilities,train,"renewed my mobile plan"
Bills & Utilities,train,"paid the home internet bill"
Entertainment,train,"bought a ticket for the cinema"
Entertainment,train,"paid for a live music show"
Entertainment,train,"renewed my video streaming plan"
Entertainment,train,"went out to watch a film"
Entertainment,train,"subscribed to a music service"
Transfer / Personal,train,"sent money back to my cousin"
Transfer / Personal,train,"paid my friend back"
Transfer / Personal,train,"transferred some cash to my parents"
Transfer / Personal,train,"returned a personal loan"
Transfer / Personal,train,"sent money to cover what I owed"
Unknown,train,"no details"
Unknown,train,"general expense"
Unknown,train,"for something"
Unknown,train,"payment made"
Unknown,train,"not sure what this was for"
